HitRate@10_rel2,HitRate@5_rel1plus,HitRate@5_rel2,Judged@10,Judged@20,Judged@30,Judged@5,MRR@10_rel1plus,MRR@10_rel2,Precision@5_rel1plus,Precision@5_rel2,confidence_intervals,estimate_warning,graded_nDCG@10,pooled_Recall@10_rel1plus,pooled_Recall@10_rel2,pooled_Recall@20_rel1plus,pooled_Recall@20_rel2,pooled_Recall@5_rel1plus,pooled_Recall@5_rel2,query_count,retriever,slice_name,slice_value,source_field
0.24,0.28,0.24,1.0,1.0,1.0,1.0,0.20733333333333334,0.13666666666666666,0.08800000000000001,0.04800000000000001,"{'graded_nDCG@10': {'mean': 0.10514108762828454, 'ci95_lower': 0.042049352197124475, 'ci95_upper': 0.17890759244943752, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'MRR@10_rel2': {'mean': 0.13666666666666666, 'ci95_lower': 0.04, 'ci95_upper': 0.2633333333333333, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'pooled_Recall@10_rel2': {'mean': 0.2, 'ci95_lower': 0.06, 'ci95_upper': 0.36, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'HitRate@5_rel2': {'mean': 0.24, 'ci95_lower': 0.08, 'ci95_upper': 0.4, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}}",small sample; estimates may be unstable,0.10514108762828454,0.048246889952153114,0.2,0.06258059133848608,0.26,0.027184051036682616,0.2,25,bm25,error_category,null_semantics,error_category
0.72,0.68,0.6,1.0,1.0,1.0,1.0,0.6290476190476191,0.599047619047619,0.22400000000000003,0.15200000000000002,"{'graded_nDCG@10': {'mean': 0.3251067801484262, 'ci95_lower': 0.2338461475915891, 'ci95_upper': 0.41598621406899433, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'MRR@10_rel2': {'mean': 0.599047619047619, 'ci95_lower': 0.41711904761904783, 'ci95_upper': 0.7733333333333333, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'pooled_Recall@10_rel2': {'mean': 0.5393333333333333, 'ci95_lower': 0.37665000000000015, 'ci95_upper': 0.7033333333333333, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'HitRate@5_rel2': {'mean': 0.6, 'ci95_lower': 0.4, 'ci95_upper': 0.8, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}}",small sample; estimates may be unstable,0.3251067801484262,0.09127855259761676,0.5393333333333333,0.13609995845532025,0.5993333333333333,0.07676267958174372,0.4633333333333334,25,bm25,error_category,schema_or_identifier_issue,error_category
0.56,0.6,0.48,1.0,1.0,1.0,1.0,0.39966666666666667,0.33404761904761904,0.21600000000000003,0.128,"{'graded_nDCG@10': {'mean': 0.22385341145903037, 'ci95_lower': 0.14158158528295356, 'ci95_upper': 0.3149859683031744, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'MRR@10_rel2': {'mean': 0.33404761904761904, 'ci95_lower': 0.19238095238095237, 'ci95_upper': 0.49, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'pooled_Recall@10_rel2': {'mean': 0.38333333333333336, 'ci95_lower': 0.2333333333333333, 'ci95_upper': 0.54, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'HitRate@5_rel2': {'mean': 0.48, 'ci95_lower': 0.28, 'ci95_upper': 0.68, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}}",small sample; estimates may be unstable,0.22385341145903037,0.1048982128982129,0.38333333333333336,0.1447960927960928,0.4066666666666666,0.08506515706515706,0.3133333333333333,25,bm25,error_category,syntax_error,error_category
0.64,0.76,0.6,1.0,1.0,1.0,1.0,0.6707142857142857,0.4676666666666667,0.35200000000000004,0.2,"{'graded_nDCG@10': {'mean': 0.37713738230427923, 'ci95_lower': 0.2620790583933859, 'ci95_upper': 0.49457498966126817, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'MRR@10_rel2': {'mean': 0.4676666666666667, 'ci95_lower': 0.29266666666666663, 'ci95_upper': 0.648, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'pooled_Recall@10_rel2': {'mean': 0.5066666666666666, 'ci95_lower': 0.34, 'ci95_upper': 0.6733333333333333, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'HitRate@5_rel2': {'mean': 0.6, 'ci95_lower': 0.4, 'ci95_upper': 0.8, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}}",small sample; estimates may be unstable,0.37713738230427923,0.19514335691977366,0.5066666666666666,0.2372398451072566,0.5933333333333334,0.14030705299247498,0.47,25,bm25,error_category,type_or_casting,error_category
0.84,0.96,0.84,1.0,1.0,1.0,1.0,0.8166666666666668,0.7333333333333333,0.344,0.248,"{'graded_nDCG@10': {'mean': 0.48009568559940474, 'ci95_lower': 0.3973359894004901, 'ci95_upper': 0.5574239609776309, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'MRR@10_rel2': {'mean': 0.7333333333333333, 'ci95_lower': 0.58, 'ci95_upper': 0.8733333333333333, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'pooled_Recall@10_rel2': {'mean': 0.7071428571428571, 'ci95_lower': 0.5542857142857143, 'ci95_upper': 0.8442857142857143, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'HitRate@5_rel2': {'mean': 0.84, 'ci95_lower': 0.68, 'ci95_upper': 0.96, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}}",small sample; estimates may be unstable,0.48009568559940474,0.226985680985681,0.7071428571428571,0.2748386613386613,0.8142857142857143,0.18884756909756908,0.6371428571428571,25,bm25,error_category,version_incompatibility,error_category
0.5804597701149425,0.6206896551724138,0.4827586206896552,1.0,1.0,1.0,1.0,0.5006408502098157,0.3954137018792191,0.22758620689655173,0.14022988505747128,"{'graded_nDCG@10': {'mean': 0.2793741724340953, 'ci95_lower': 0.24117819911397326, 'ci95_upper': 0.3168558426722215, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 174}, 'MRR@10_rel2': {'mean': 0.3954137018792191, 'ci95_lower': 0.33092883369823023, 'ci95_upper': 0.4606504857690202, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 174}, 'pooled_Recall@10_rel2': {'mean': 0.4366584564860427, 'ci95_lower': 0.3730285303776683, 'ci95_upper': 0.499781746031746, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 174}, 'HitRate@5_rel2': {'mean': 0.4827586206896552, 'ci95_lower': 0.40804597701149425, 'ci95_upper': 0.5574712643678161, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 174}}",,0.2793741724340953,0.14158899993912988,0.4366584564860427,0.18008824534501255,0.5030103995621237,0.10546435922632456,0.3529419813902573,174,bm25,case_flag,dialect-sensitive,requires_dialect_reasoning
0.5,0.5526315789473685,0.47368421052631576,1.0,1.0,1.0,1.0,0.4549707602339181,0.3465434419381788,0.18684210526315792,0.10789473684210528,"{'graded_nDCG@10': {'mean': 0.2316546889961427, 'ci95_lower': 0.17910570407191126, 'ci95_upper': 0.2855819573485473, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 76}, 'MRR@10_rel2': {'mean': 0.3465434419381788, 'ci95_lower': 0.25475146198830406, 'ci95_upper': 0.4441925125313282, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 76}, 'pooled_Recall@10_rel2': {'mean': 0.39232456140350874, 'ci95_lower': 0.29605263157894735, 'ci95_upper': 0.4903563596491227, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 76}, 'HitRate@5_rel2': {'mean': 0.47368421052631576, 'ci95_lower': 0.3684210526315789, 'ci95_upper': 0.5789473684210527, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 76}}",,0.2316546889961427,0.12045322831777708,0.39232456140350874,0.15768440751543433,0.4471491228070176,0.0927018880258021,0.3699561403508772,76,bm25,case_flag,non-dialect-sensitive,requires_dialect_reasoning
0.7547169811320755,0.8301886792452831,0.6981132075471698,1.0,1.0,1.0,1.0,0.7024558250973345,0.6063641808924828,0.31320754716981136,0.20754716981132076,"{'graded_nDCG@10': {'mean': 0.4209633270990611, 'ci95_lower': 0.35050282308952074, 'ci95_upper': 0.48999947305103037, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 53}, 'MRR@10_rel2': {'mean': 0.6063641808924828, 'ci95_lower': 0.48578578915843074, 'ci95_upper': 0.7235867774782869, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 53}, 'pooled_Recall@10_rel2': {'mean': 0.6291554357592093, 'ci95_lower': 0.5157232704402516, 'ci95_upper': 0.7376460017969452, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 53}, 'HitRate@5_rel2': {'mean': 0.6981132075471698, 'ci95_lower': 0.5660377358490566, 'ci95_upper': 0.8113207547169812, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 53}}",,0.4209633270990611,0.2169291708414905,0.6291554357592093,0.2618923051914173,0.7174303683737646,0.1682002322193776,0.566262353998203,53,bm25,case_flag,version-sensitive,requires_version_reasoning
0.5025380710659898,0.5380710659898477,0.4213197969543147,1.0,1.0,1.0,1.0,0.42872653291435014,0.31980702602530015,0.1888324873096447,0.10964467005076142,"{'graded_nDCG@10': {'mean': 0.22287211183243244, 'ci95_lower': 0.1907275019444502, 'ci95_upper': 0.25547433037292533, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 197}, 'MRR@10_rel2': {'mean': 0.31980702602530015, 'ci95_lower': 0.26351165296914025, 'ci95_upper': 0.3770709451293207, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 197}, 'pooled_Recall@10_rel2': {'mean': 0.36776649746192897, 'ci95_lower': 0.3100676818950931, 'ci95_upper': 0.4259729272419628, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 197}, 'HitRate@5_rel2': {'mean': 0.4213197969543147, 'ci95_lower': 0.350253807106599, 'ci95_upper': 0.49238578680203043, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 197}}",,0.22287211183243244,0.11316591516223685,0.36776649746192897,0.14943694155360449,0.42377326565143825,0.08366258724728132,0.3021150592216582,197,bm25,case_flag,non-version-sensitive,requires_version_reasoning
0.5652173913043478,0.6086956521739131,0.4927536231884058,1.0,1.0,1.0,1.0,0.5063204508856682,0.41561996779388083,0.22608695652173913,0.127536231884058,"{'graded_nDCG@10': {'mean': 0.26566213734311256, 'ci95_lower': 0.20823784765638076, 'ci95_upper': 0.32414613594369474, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 69}, 'MRR@10_rel2': {'mean': 0.41561996779388083, 'ci95_lower': 0.3117522141706925, 'ci95_upper': 0.5241545893719807, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 69}, 'pooled_Recall@10_rel2': {'mean': 0.4195652173913043, 'ci95_lower': 0.3214975845410628, 'ci95_upper': 0.521256038647343, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 69}, 'HitRate@5_rel2': {'mean': 0.4927536231884058, 'ci95_lower': 0.37681159420289856, 'ci95_upper': 0.6086956521739131, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 69}}",,0.26566213734311256,0.11514640072762412,0.4195652173913043,0.15846698840750173,0.4714975845410628,0.0893093780082309,0.3714975845410628,69,bm25,case_flag,documented-error,has_documented_error
